Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
140,27/6/2026,Bænkpres,94.3,,24/06/2026 00.00,93.5,0.8,,98.0,95.8,-0.7,0,FALSK
141,27/6/2026,Dødløft,,,24/06/2026 00.00,160.3,,,157.3,158.8,,,
142,1/7/2026,Squat,,,27/06/2026 00.00,144.9,,,141.8,143.4,,,
143,1/7/2026,Bænkpres,,,27/06/2026 00.00,94.3,,,93.5,93.9,2.0,1,
144,1/7/2026,Dødløft,157.5,,27/06/2026 00.00,160.3,-2.8,,160.3,160.3,,,FALSK
145,8/7/2026,Squat,,,01/07/2026 00.00,144.9,,,144.9,144.9,,,
146,8/7/2026,Bænkpres,93.3,,01/07/2026 00.00,94.3,-0.9,,94.3,94.3,0.8,0,FALSK
147,8/7/2026,Dødløft,,,01/07/2026 00.00,157.5,,,160.3,158.9,,,
148,11/7/2026,Squat,148.0,,08/07/2026 00.00,144.9,3.1,,144.9,144.9,,,FALSK
149,11/7/2026,Bænkpres,95.0,,08/07/2026 00.00,93.3,1.7,,94.3,93.8,,,FALSK
150,11/7/2026,Dødløft,,,08/07/2026 00.00,157.5,,,157.5,157.5,,,
151,23/7/2026,Squat,,,11/07/2026 00.00,148.0,,,144.9,146.5,,,
152,23/7/2026,Bænkpres,93.5,,11/07/2026 00.00,95.0,-1.5,,93.3,94.2,,,FALSK
153,23/7/2026,Dødløft,,,11/07/2026 00.00,157.5,,,157.5,157.5,,,
154,26/7/2026,Squat,,,23/07/2026 00.00,148.0,,,148.0,148.0,,,
